Site name,Cat_No,Provenance code,X coordinate,Y coordinate,No. of artefacts,Artefact category,act_cat,Material,Material detail,Type,Sub-Type,Description,Inscription,Find No./Inv. No. ,Find No. reduced,Date,Stratigraphical info,Period,Building phase,Building phase code,Building phase and find complex,Location,location_reduced,Gender ,Gender code,Width (cm),Rim diam. (cm),Base diam. (cm),Diam. (cm),Height (cm),Length (cm),Thickness (cm),Weight (g),Other dimensions,Fabric,Published illustration,Published parallels
Ellingen,K0017,347,65.00,83.00,13,stone and metal working,SM,Slag,,Indeterminate fragments,,"2 large, 6 medium, 5 small pieces.",,1991-3023,3023,,Planum l - 2 (1981),,Period 1,P1,Building C-I-II,Building C,Building C,male,Ma,,,,,,,,810,,,,
Ellingen,K0022,347,65.00,83.00,13,stone and metal working,SM,Slag,,Indeterminate fragments,,"2 large, 6 medium (bronze slag underneath?), 5 small pieces.",,1991-3043,3043,,"Planum 1 -2, above Planum 2 (1981)",,Period 1a-b,P1,Building C-I,Building C,Building C,male,Ma,,,,,,,,592,,,,
Ellingen,K0026,347,65.00,83.00,10,stone and metal working,SM,Slag,,Indeterminate fragments,,"3 large, 7 medium and small pieces.",,Probably Building C,4003,,,,Period 1-2,P1_2,,Building C,Building C,male,Ma,,,,,,,,513,,,,
Ellingen,K0035,347,65.00,83.00,23,stone and metal working,SM,Slag,,Indeterminate fragments,,"3 medium, 20 small pieces.",,1991-3008,3008,,Planum l - 2 (1981),,Period 1,P1,Building C-I-II,Building C,Building C,male,Ma,,,,,,,,300,,,,
Ellingen,K0040,347,65.00,83.00,7,stone and metal working,SM,Slag,,Indeterminate fragments,,"3 medium, 4 small pieces.",,1991-3009,3009,,Planum l - 2 (1981),,Period 1,P1,Building C-I-II,Building C,Building C,male,Ma,,,,,,,,245,,,,
Ellingen,K0050,347,65.00,83.00,4,stone and metal working,SM,Slag,,Indeterminate fragments,,"2 medium, 2 small pieces.",,1991-2058,2058,,,,Period 1-2,P1_2,,Building C,Building C,male,Ma,,,,,,,,c. 200 ,,,,
Ellingen,K0095,347,65.00,83.00,2,stone and metal working,SM,Slag,,Indeterminate fragments,,2 small pieces.,,Probably Building C.,4003,,,,Period 1-2,P1_2,,Building C,Building C,male,Ma,,,,,,,,59,,,,
Ellingen,B0058,347,65.00,83.00,1,combat dress?,ZDE,Copper alloy,,Strap fittings,,"Fitting fragment; small, offset disc with rivet hole.",,1991-3038,3038,,"Planum 2- under , above mortal layer",,Period 2,P2,Building C-II,Building C,Building C,male?,ZMa,0.7,,,,,1.7  (preserved),,,,,Pl.  17,"Fischer, Heddernheim 90 fig. 18.2."
Ellingen,W0016,347,65.00,83.00,1,food?/miscellaneous?/gaming?,ZFo_M_G,Animal bones,Worked?,Red deer,,"Vertebrae, knucklebone.",,1991-3043,3043,,"Planum 1 -2, above Planum 2 (1981)",,Period 1a-b,P1,Building C-I,Building C,Building C,male?/female?,ZMa_Fe,,,,,,,,,,,fig. 75. 2,
Ellingen,W0002,347,65.00,83.00,1,gaming?/miscellaneous?,ZG_M,Animal bones,Worked ,Cattle,,"Metatarsus, proximal end, female, juvenile. ",,14 30 22,3022,,Planum 1-2 (1981),,Period 1a-b,P1,Building C-I,Building C,Building C,male?/female?,ZMa_Fe,,,,,,,,,,,fig. 75. 10,
Ellingen,F0006,347,65.00,83.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Dishes/bowls,,l rim sherd of a bowl with slight nach outer thickened lip similar F5; lightish bluish-green.,,1991-3008,3008,,Planum l - 2 (1981),,Period 1,P1,Building C-I-II,Building C,Building C,N/A,U,, 14-15 ,,,,,,,,,,
Ellingen,F0012,347,65.00,83.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Dishes/bowls,,"l rim sherd of a bowl (?) with slightly thickened, somewhat retracted rim similar F 11; lightish brown-olive; ",,1991-897,897,,Planum l - 2 (1981),,Period 1,P1,Building C-I-II,Building C,Building C,N/A,U,,13-14.5 ,,,,,,,,,,
Ellingen,F0025,347,65.00,83.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Cups,Isings 85b,l rim sherd with thickened rim of a cup of the type Isings 85b; colourless;,,1991-3022,3022,,Planum l - 2 (1981),,Period 1,P1,Building C-I-II,Building C,Building C,N/A,U,,c. 9.5 ,,,,,,,,,,
Ellingen,F0026,347,65.00,83.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Cups,Isings 85b,l rim sherd with inwards thickened lip of a cup; light greenish-blue.,,1991-3043,3043,,"Planum 1 -2, above Planum 2 (1981)",,Period 1a-b,P1,Building C-I,Building C,Building C,N/A,U,,c. 9 ,,,,,,,,,,
Ellingen,K0008,436,72.00,86.00,11,stone and metal working,SM,Slag,,Indeterminate fragments,,"l very large, 5 medium, 5 small pieces.",,1991-2055,2055,,,,Period 1-2,P1_2,,Building C,Building C,male,Ma,,,,,,,,2289,,,,
Ellingen,K0070,262,55.00,85.00,8,stone and metal working,SM,Slag,,Indeterminate fragments,,"l medium, 7 small pieces.",,1991-1174,1174,,Planum 4 (1980),,Period 1,P1,Building C-I-II,Building C and west,Building C,male,Ma,,,,,,,,111,,,,
Ellingen,K0001,408,70.00,83.00,35,stone and metal working,SM,Slag,,Indeterminate fragments,,"Approx. 15 large, approx. 20 medium, very small pieces.",,1991-3014,3014,,Between Planum l and 2 (1981),,Period 1a-b,P1,Building C-I,"Building C, east part ",Building C,male,Ma,,,,,,,,c. 8.8 kg,,,,
Ellingen,K0014,409,70.00,87.00,17,stone and metal working,SM,Slag,,Indeterminate fragments,,17 medium and small pieces.,,1991-2109,2109,,Planum 3 (1981) - under ,,Period 1,P1,Building C-I-II,"Building C, east part ",Building C,male,Ma,,,,,,,,960,,,,
Ellingen,F0027,409,70.00,87.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Cups,Isings 85b,"l rim sherd with inwards thickened rim of a cup, two fine grooves on outer lower half of the rim; light green.",,1991-2109,2109,,Planum 3 (1981) - under ,,Period 1,P1,Building C-I-II,"Building C, east part ",Building C,N/A,U,,9.5,,,,,,,,,,
Ellingen,B0010,414,70.50,82.00,1,dress,D,Copper alloy,,Brooches,Böhme Type 44a,"Framed disc brooch. Two piece bronze brooch; under tendoned spiral construction missing; round disc with frame and central nail hole mount, remains of a concentrically ribbed gold coating (also under the frame furrow); on the under side remains of worked central bar, longitudinal pin holder.",,13 30 04 / 1983-2719,3004,mid 2nd - 3rd cent. AD,,,Period 2?,ZP2,Building C-II,"Building C, east part ",Building C,female,Fe, c. 0.25 (frame),,,2.8; 2.3 (inner),,,,,,,Pl.  14,"M. Mackensen, Bayer. Vorgeschbl. 38, 1973, 57ff."
Ellingen,C0078,420,70.80,79.70,1,cutting and sharpening,CS,Iron,,Knives,,"Shears blade, bow twisted;",,1991-720,720,,,,Period 1-2,P1_2,,"Building C, east part ",Building C,male?,ZMa,blade: 3.4 ,,,,,blade: 14.0 (preserved),,,,,Pl.  28,
Ellingen,K0089,422,71.00,87.00,2,stone and metal working,SM,Slag,,Indeterminate fragments,,"l medium, l small piece.",,1991-2091,2091,,Above mortar layer,,Period 2?,ZP2,Building C-II,"Building C, east part ",Building C,male,Ma,,,,,,,,65,,,,
Ellingen,G0024,423,71.10,82.20,1,dress,D,Bone and antler,Worked,Pins,,Plain pin.,,13 21 20 / 1983--2743,2120,,Planum 3 (1981),,Period 1,P1,Building C-I-II,"Building C, east part ",Building C,female?,ZFe,,,,,,10.9,0.6,,,,Pl.  98,Similar to F23.
Ellingen,C0004a,423,71.10,82.20,1,combat equipment,E,Iron,,Javelins and lances,,Fragment of socketed pilum; three-sided pyramidal point distinctly offset from round-sectioned shaft; in upper third broken shaft widened to same size as socket.,,1991-2119 (shaft with socket),2119,,Planum 3 (1981) - under ,,Period 1,P1,Building C-I-II,"Building C, east part ",Building C,male,Ma,,,,slit socket: 2.3  ,,"38.0  (preserved, not much longer originally)",shaft: 0.4-1.0  ,123 (preserved) ,,,Pl.  22,
Ellingen,F0038,425,71.65,82.75,8,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Cups,Berger type V,"Numerous base and wall sherds, probably of a cup with polished facets; applied foot; colourless.",,1991-2117,2117,,Planum 3 (1981) - under ,,Period 1,P1,Building C-I-II,"Building C, east part ",Building C,N/A,U,,,5.9,,,,,,,,Pl.  93,"L. Berger, Römische Gläser aus Vindonissa (1960) 69f.; Welker, Nida I 55ff.; Walke, Straubing pl. 75.30."
Ellingen,K0021,435,72.00,83.00,16,stone and metal working,SM,Slag,,Indeterminate fragments,,"l large, 5 medium, 10 small pieces.",,1991-3035,3035,,,,Period 1-2,P1_2,,"Building C, east part ",Building C,male,Ma,,,,,,,,621,,,,
Ellingen,K0025,435,72.00,83.00,5,stone and metal working,SM,Slag,,Indeterminate fragments,,"l large, 4 medium pieces.",,1991-3036,3036,,,,Period 1-2,P1_2,,"Building C, east part ",Building C,male,Ma,,,,,,,,523,,,,
Ellingen,K0028,435,72.00,83.00,11,stone and metal working,SM,Slag,,Indeterminate fragments,,"l large, 5 medium, 5 small pieces.",,1991-3029,3029,,,,Period 1b-2?,ZP1B_2,Building C-II?,"Building C, east part ",Building C,male,Ma,,,,,,,,491,,,,
Ellingen,B0064,435,72.00,83.00,1,combat dress?,ZDE,Copper alloy,,Strap fittings,,Buckle bow.,,1991-3033,3033,,,,Period 1-2,P1_2,Building C-II?,"Building C, east part ",Building C,male?,ZMa,3.9,,,,,1.5  (preserved),,,,,Pl.  17,
Ellingen,C0149,435,72.00,83.00,1,horse equipment?,ZH,Iron,,Clips and joints,,"Strap ferrule; long rectangular fitting joined to opposing fitting by a robust rivet, loop rounded quadrangular section; part of horse harness?",,1991-3030,3030,,,,Period 1-2,P1_2,,"Building C, east part ",Building C,N/A,U,1.6,,,,,7.5,,,,,Pl.  32,
Ellingen,B0009,437,72.00,88.00,1,dress,D,Copper alloy,,Brooches,Type Ellingen' ,"Knobbed bow brooch. Two piece bronze brooch; definitely not tin-plated; spiral construction missing; small plastic double outlined bow knob; semicircular arched bow with oval section, slightly thickened at the transition to the foot with attached moulding; foot slightly dome-shaped with rounded ends; open pin holder somewhat shorter than the foot.",,1991-844,844,1st 1/3 3rd cent. AD,,,,3RD_CENT,Building C-II,"Building C, east part ",Building C,male?,ZMa,,,,,,5.6,,,,,Pl.  14,
Ellingen,G0027b,438,72.10,81.40,1,dress,D,Bone and antler,Worked,Pins,,Pin; head broken; two adjoining fragments.,,1991-900,2122,,Planum 3 (1981) - under ,,Period 1,P1,Building C-I-II,"Building C, east part ",Building C,female?,ZFe,,,,,,11.2,0.4,,,,Pl.  98,
Ellingen,K0012,439,72.24,82.32,23,stone and metal working,SM,Slag,,Indeterminate fragments,,"l very large, 10 medium, 12 small pieces.",,1991-3001,3001,,,,Period 1-2,P1_2,,"Building C, east part ",Building C,male,Ma,,,,,,,,1815,,,,
Ellingen,S0005e,449,73.20,81.90,1,human remains,Sk,Human bones,,neonates,,Partial skeleton of ca 10 lunar month neonate.,,14 21 61,2161,,,,Period 1a?,ZP1A,Building C-I(?)(Find complex 9),"Building C, east part , pit C83 or C84",Building C,child,Ch,,,,,,,,,,,,
Ellingen,K0105,449,73.20,81.90,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l medium piece.,,1991-2162,2162,,,,Period 1a?,ZP1A,Building C-I(?)(Find complex 9),"Building C, east part , pit C83 or C84",Building C,male,Ma,,,,,,,,45,,,,
Ellingen,K0109,449,73.20,81.90,2,stone and metal working,SM,Slag,,Indeterminate fragments,,"l medium, l small piece.",,1991-2161,2161,,,,Period 1a?,ZP1A,Building C-I(?)(Find complex 9),"Building C, east part , pit C83 or C84",Building C,male,Ma,,,,,,,,35,,,,
Ellingen,K0133,413,70.30,83.20,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l small piece.,,1991-3046,3046,,,,Period 1-2,P1_2,,"Building C, east part , posthole C81",Building C,male,Ma,,,,,,,,15,,,,
Ellingen,K0139,419,70.70,81.90,2,stone and metal working,SM,Slag,,Indeterminate fragments,,2 small pieces.,,1991-3045,3045,,,,,ZZ,,"Building C, east part , posthole C82",Building C,male,Ma,,,,,,,,7,,,,
Ellingen,S0005d,447,73.00,88.00,1,human remains,Sk,Human bones,,neonates,,Skull fragment from a 0-3 month old infant.,,14 20 57,2057,,Planum 3,,Period 1,P1,Building C-I-II,"Building C, east part , posthole under floor in NE ",Building C,child,Ch,,,,,,,,,,,,
Ellingen,S0005h,416,70.50,87.00,1,human remains,Sk,Human bones,,neonates,,Femur of ca 10 lunar month neonate.,,14 30 34,3034,,,,Period 1b-2?,ZP1B_2,Building C-II?,"Building C, hearth",Building C,child,Ch,,,,,,,,,,,,
Ellingen,K0003,416,70.50,87.00,51,stone and metal working,SM,Slag,,Indeterminate fragments,,"l very large, 5 large, 15 medium, approx.  30 small pieces.",,1991-3034,3034,,,,Period 1b-2?,ZP1B_2,Building C-II?,"Building C, hearth",Building C,male,Ma,,,,,,,,3719,,,,
Ellingen,K0097,391,68.50,85.00,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l medium piece.,,1991-782,782,,,,Period 1-2,P1_2,,"Building C, middle and east part ",Building C,male,Ma,,,,,,,,57,,,,
Ellingen,C0127,391,68.50,85.00,1,writing,W,Iron,,Stili,,"Stilus, of round section, broken.",,1991-782,782,,,,Period 1_2,P1_2,,"Building C, middle and east part ",Building C,male?,ZMa,nib: 0.9  ,,,,,7.5 (preserved),0.3,,,,Pl.  32,
Ellingen,W0008,381,67.50,82.50,1,gaming?/miscellaneous?,ZG_M,Animal bones,Worked ,Pig,,"Femur, distal.",,14 07 34,734,,,,Period 1-2,P1_2,,"Building C, middle and east part , and east",Building C,male?/female?,ZMa_Fe,,,,,,,,,,,fig. 75. 5,
Ellingen,M0005,453,74.00,82.00,1,cutting and sharpening,CS,Flint,,Indeterminate fragments,,"Fragment of a Silexkrater with whiter patina, rim heavily retouched.",,1991-845,845,,,Pre-Roman,Period 1-2,P1_2,,"Building C, middle and east part , and east",Building C,male?,ZMa,2.2,,,,,2.5 (preserved) ,,,,,,
Ellingen,M0011,453,74.00,82.00,1,cutting and sharpening,CS,Flint,,Indeterminate fragments,,Silex chip.,,1991-845,845,,,Pre-Roman,Period 1-2,P1_2,,"Building C, middle and east part , and east",Building C,male?,ZMa,1.7,,,,,2.1,,,,,,
Ellingen,B0018,298,60.90,84.50,1,dress,D,Copper alloy,,Brooches,,"Horse-shaped bow brooch. Two piece bronze brooch; tubular hinge construction, hinge shaft of bronze or iron; small stilised horse, torso (bow) of rhomboid section, in the place of the tail a small loop; high, longitudinal pin holder as forelegs. ",,13 11 53 / 1983-2718,1153,2nd cent. AD,Planum 3 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,3.2,,,,,Pl.  15,The combination of tubular hinge and longitudinal pin holder is not known elsewhere (to Zanier). Horse-shaped bow brooch are spread in Pannonia and Dalmatia.
Ellingen,C0054,304,61.50,87.00,1,cutting and sharpening,CS,Iron,,Knives,,"Knife with straight back, curved blade and centrally placed handle tang; Bronzefitting at the upper bladenrim;",,1991-3002,3002,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male?,ZMa,blade: 1.9 ,,,,,13.3 (preserved),,,,,Pl.  27,"Walke, Straubing pl. 120, l and Schönberger, Oberstimm pl. 34, B 532."
Ellingen,C0006,306,61.80,80.10,1,combat equipment,E,Iron,,Javelins and lances,,Lance head with central ridge.,,13 07 98 / 1983-2752,798,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male,Ma,blade:: 6.2 ,,,socket: 2.0 ,,29.2,,162 (preserved),,,Pl.  22,
Ellingen,J0002,307,61.80,80.90,1,dress,D,Stone,Jaspis,Finger-rings,gems,"Ring stone of red jasper, high oval; figured side slightly convex, rear side flat, rim sloping backwards; small splinters at the left rim; all surfaces polished; Hunter on ground line striding left (from observer of the original), the belted exomis leaves his left shoulder free. In his right hand he holds a pedum carried on his right shoulder, from the crooked end hangs a hare, from the front end hangs another wild animal. In his left Hand he holds two birds(?). Bside him runs a dog.",,13 07 95 / 1983--2708,795,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,,,,1.59 x 1.28 x 0.27 cm,,"Pl.  99, Pl.  103","ORL B 22 (Rückingen) 19 no. 6 pl. 2.15. G. Sena Chiesa, Gemme del Museo Nazionale di Aquileia (1966) nos 837-840, 842, 843. - M. Henig loc. cit. (J 1) nos 184-186, 200-202."
Ellingen,B0146,311,62.40,85.10,1,toilet,T,Copper alloy,,Ligulae,,"Ear cleaner, round-sectioned.",,13 21 07 / 1983-2741,2107,,,,Period 1_2,P1_2,,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,9.7  (preserved),,,,,Pl.  19,"Riha, Äugst Toilettgerät 60 Variante E."
Ellingen,B0030,320,63.15,84.20,1,dress?/miscellaneous fittings?,ZD_MF,Copper alloy,,"Knobs, discs, studs",,"Round pommel plate(?), slightly vaulted, with eight-rayed decoration and square hole in the centre.",,1991-3024,3024,,Planum 3 (1981) - under ,,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male?,ZMa,,,,3.9,,,,,,,Pl.  16,"Oldenstein, Ausrüstung 94; pl. 11.25, 27 (Pfünz); Fundber. Baden-Württemberg 8,1983, 327 no. 3 pl. 199 E (Buch)."
Ellingen,K0032,323,63.50,78.50,4,stone and metal working,SM,Slag,,Indeterminate fragments,,4 medium pieces.,,1991-652,652,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male,Ma,,,,,,,,382,,,,
Ellingen,B0011,324,63.73,83.95,1,dress,D,Copper alloy,,Brooches,Böhme Type 49a; Jobst Type 34A. ; Riha Type 3.19.2,"Maltese cross brooch. Two piece bronze brooch; spiral with six windings and under tendon, pin missing; right-running swastika with longitudinally indented arms; transverse pin holder.",,13 11 77 / 1983-2712,1177,end 2nd cent. beg 3rd cent. AD,Planum 4 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male,Ma,,,,,,2.6,,,,,Pl.  14,"H. Winter, Rom. Österreich 9/10, 1982/83, 235ff."
Ellingen,J0011,332,64.20,83.60,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,large,"Very fine-grained sandstone; fragment, rectangular; upper, lower and one long side with grinding traces and grinding grooves.",,1991-722,722,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male?,ZMa,,,,,,,,3255 (preserved) ,24.5 x 13.5 x 6.1 - 7.0 cm (preserved) ,,Pl.  104,
Ellingen,C0018,333,64.70,80.60,1,combat equipment,E,Iron,,Javelins and lances,,Lance head with central ridge.,,1991-2130,2130,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male,Ma,blade:: 3.0 ,,,slit socket: 1.5 ,,10.7 (preserved),,51 (preserved) ,,,Pl.  23,
Ellingen,F0016,346,65.00,82.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Pots,,l rim sherd of a spherical pot with out-turned vertical rim (Isings 67c); light greenish-blue.,,1991-2126,2126,,Planum 3 (1981) - under ,,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,N/A,U,,13.1,,,,,,,,,Pl.  93,"Welker, Nida II 17f;  similar: Welker, Nida I pl. 6.90."
Ellingen,J0030,348,65.00,85.00,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,medium,"Very fine-grained sandstone; fragment, rectangular; upper, lower and one short side with processing traces; long sides with grinding traces.",,1991-1300,1300,,Planum 3 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male?,ZMa,,,,,,,,165 (preserved),9.0 x 7.4 x 1.8 cm (preserved),,Pl.  104,
Ellingen,S0005b,348,65.00,85.00,1,human remains,Sk,Human bones,,Adult,,Lower jawbone fragment from adult individual.,,14 13 00,1300,,Planum 3 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,,,,,,,
Ellingen,B0167,348,65.00,85.00,1,stone and metal working,SM,Copper alloy,,Spout fragments,,Spout with to a pouring channel plug.,,1991-1164,1164,,Planum 4 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male,Ma,,,,funnel head: 2.1  ,,1.9  (preserved),,14,,,Pl.  20,
Ellingen,J0092h,348,65.00,85.00,1,stone and metal working,SM,Stone,Ironstone,Indeterminate fragments,,Small vererzten ironstone piece (Dogger Beta) could have been collected for iron smelting.,,1991-1125,1125,,Planum 1 (1980),,Period 2?,ZP2,Building C-II,"Building C, middle part ",Building C,male,Ma,,,,,,c. 4-6 ,,,,,,"H. Schmidt-Kaler, Geologische Karte von Bayern l: 25 000. Illustration on sheet no. 6932 Nennslingen (1971) 18; 68."
Ellingen,J0092k,348,65.00,85.00,1,stone and metal working,SM,Stone,Ironstone,Indeterminate fragments,,Small vererzten ironstone piece (Dogger Beta) could have been collected for iron smelting.,,1991-1300,1300,,Planum 3 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male,Ma,,,,,,c. 4-6 ,,,,,,"H. Schmidt-Kaler, Geologische Karte von Bayern l: 25 000. Illustration on sheet no. 6932 Nennslingen (1971) 18; 68."
Ellingen,K0048,348,65.00,85.00,7,stone and metal working,SM,Slag,,Indeterminate fragments,,"2 medium, 5 small pieces.",,1991-1300,1300,,Planum 3 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male,Ma,,,,,,,,208,,,,
Ellingen,K0069,348,65.00,85.00,5,stone and metal working,SM,Slag,,Indeterminate fragments,,"l medium, 4 small pieces.",,1991-1180,1180,,Planum 5 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male,Ma,,,,,,,,114,,,,
Ellingen,K0110,348,65.00,85.00,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l medium piece.,,1991-1164,1164,,Planum 4 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male,Ma,,,,,,,,31,,,,
Ellingen,K0129,348,65.00,85.00,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l small (bronze slag?) piece.,,1991-1127,1127,,Planum 2 (1980),,Period 2,P2,Building C-II,"Building C, middle part ",Building C,male,Ma,,,,,,,,17,,,,
Ellingen,B0139,348,65.00,85.00,1,dress?/cloth working?/toilet?,ZD_C_T,Copper alloy,,Needles & pins,,Pin fragment with rectangular section.,,1991-1300,1300,,Planum 3 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,6.0  (preserved),0.15 x 0.25 ,,,,,
Ellingen,B0092,348,65.00,85.00,1,dress?/miscellaneous fittings?,ZD_MF,Copper alloy,,Discs,,"Small disc with central boss, no soldering traces recognisable on the rear side.",,1991-1194,1194,,Planum 5 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,1.9,,,,,,,Pl.  18,"Oldenstein, Ausrüstung 176f.; pl. 52. 611-613."
Ellingen,W0012,348,65.00,85.00,1,gaming?/miscellaneous?,ZG_M,Animal bones,Worked ,Pig,,"Femur, distal.",,,1180,,Planum 5 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,,,,,,,
Ellingen,W0013,348,65.00,85.00,1,gaming?/miscellaneous?,ZG_M,Animal bones,Worked ,Pig,,"Tibia, proximal.",,14 11 80,1180,,Planum 5 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,,,,,,fig. 75. 12,
Ellingen,F0005,348,65.00,85.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Dishes/bowls,,l rim sherd of a bowl with slight lip; slightly greenish;,,1991-1300,1300,,Planum 3 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,N/A,U,,16.6,,,,,,,,,Pl.  92,
Ellingen,F0019b,348,65.00,85.00,1,tableware and serving?/toilet?,ZTS_T,Glass,"Natural, decorated",Cups,Isings 85b,"1 rim sherd of a cup with thickened rim and so-called 'gerissener' decoration; beneath the fish swimming left the letters BE and probably A and V, between palm branches; colourless.",,1991-1164 (small rim sherd). ,1164,,Planum 4 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,N/A,U,,10.1,,,,,,,,,Pl.  93,"L. Eckhart, Jahrb. Oberösterr. Musealver. 135, 1990, 17ff. Nachträge dazu: Fundber. Baden-Württemberg 9, 1984, 666 pl. 52.A4 (Aalen); Bayer. Vorgeschbl. Beih. 2 (1988) 132 (Dambach); Jahresber. Hist. Ver. Strau-bing 91, 1989, 26 fig. 11. 4, 5 (Straubing)."
Ellingen,F0036,348,65.00,85.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Cups,,"l rim sherd of a cup similar to F35; colourless, matt.",,1991-1300,1300,,Planum 3 (1980),,Period 1,P1,Building C-I-II,"Building C, middle part ",Building C,N/A,U,,7,,,,,,,,,Pl.  93,
Ellingen,C0020,350,65.00,87.10,1,combat equipment,E,Iron,,Javelins and lances,,Lance head with slight central ridge; leaf slightly bent over in upper part abbent.,,13 06 82 / 1983-2756,682,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male,Ma,blade::  2.8 (preserved) originally c. 3.2 ,,,socket: 1.6 ,,20.5 (preserved),,67 (preserved),,,Pl.  24,
Ellingen,C0061,375,67.20,84.30,1,cutting and sharpening,CS,Iron,,Knives,,Knife with slightly arched back and centrally placed handle tang;,,1991-677,677,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male?,ZMa,blade: 1.5 ,,,,,12.7 (preserved) ,,,,,Pl.  27,
Ellingen,K0037,376,67.20,84.70,14,stone and metal working,SM,Slag,,Indeterminate fragments,,"4 medium, 10 small (bronze slag underneath?) pieces.",,1991-2098,2098,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male,Ma,,,,,,,,287,,,,
Ellingen,B0072,378,67.30,84.80,1,combat dress?/horse equipment?,ZDE_H,Copper alloy,,Pendants,,"Fitting or pendant, coarsely profiled, with open-work pelta and palmette-like terminal.",,13 21 28 / 1983-2733,2128,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,2.2,,,,,Pl.  17,
Ellingen,W0005,381,67.50,82.50,1,gaming?/miscellaneous?,ZG_M,Animal bones,Worked ,Sheep/Goat,,"Femur, distal end, juvenile.",,,734,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,,,,,,,,,
Ellingen,F0017,381,67.50,82.50,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Pots,,l rim sherd of a spherical pot with out-turned vertical rim (Isings 67c); green-blue.,,1991-734,734,,,,Period 1_2,P1_2,,"Building C, middle part ",Building C,N/A,U,,12,,,,,,,,,,"Welker, Nida II pl. 3.37."
Ellingen,K0120,386,68.00,82.50,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l medium piece.,,1991-784,784,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male,Ma,,,,,,,,21,,,,
Ellingen,B0106,387,68.00,88.40,1,dress,D,Copper alloy,,Finger-rings,,Snake finger ring; open band-shaped circle widened at the ends to a snake's head; scale pattern from cross-hatching;,,13 07 80 / 1983-2711,780,,,,Period 1-2,P1_2,,"Building C, middle part ",Building C,male?/female?,ZMa_Fe,,,,c. 2.0 ,,,,,,,Pl.  18,"F. Henkel, Die römischen Fingerringe der Rheinlande und der benachbarten Gebiete (1913) 232; Walke, Straubing pl. 100, 19."
