ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
266,SardShU59(W3b),SardShW3,Food & drink; Uncertain,fragmentary,Plate,Y,rim; orange-red; well-adhering red slip,1,,,,,23,,,Pottery/ceramic,,,,,0,FALSE,,
267,SardShU59(W3c),SardShW3,Industry; Tool,broken,GrindingStone,Y,one-half P.; round hole drilled through center,1,,20,,,40,,,Stone other,,,,,0,FALSE,Found with ID268,
268,SardShUncat(W3f),SardShW3,Food & drink; Tool,intact,Quern-Flat,Y,,1,,,,,,,,Stone other,,,,,0,FALSE,Found with ID267,
269,SardShS59.6:1358,SardShW3,Industry,fragmentary,Mortar-Gen,Y,rim and round handle w incised lattice,1,,,,,10,,,Marble,,,,,0,FALSE,,
270,SardShU59(W3g),SardShW3,Industry,fragmentary,Mortar-Gen,Y,one-fourth rim and knob handle,1,,,,,15,,,Marble,,,,,0,FALSE,Same type found in W1,
271,SardShU59(W3f),SardShW3,Industry,intact,Mortar-Gen,Y,,1,,,,,,,,Marble,,,,,0,FALSE,,
272,SardShS59.27:1588,SardShW3,Food & drink; Other; Uncertain,intact,TrayRound,Y,round marble tray w inturned rim,1,6,,,,73,,,Marble,,,,,0,FALSE,,
273,SardShU59(W3g),SardShW3,Commerce; Industry; Uncertain,intact,Weight,N,"""Weights or counters"" handmade; bell-shaped; hole reamed through top; micaceous clay fired buff to gray",24,2.1,,,,,,,Pottery/ceramic,,,,125,0,FALSE,"""Examples with and without the hole were ubiquitous throuhout the shops.""",
274,SardShG58.15:466,SardShW2,Container,intact,Bottle-Miniature,Y,,1,5.7,,,,,,3,Glass,,light green,,,0,FALSE,,
275,SardShG58.34:528,SardShW2,Container; Food & drink,fragmentary,Goblet,Y,part bowl; stem; foot,2,3.5,,,,,,5,Glass,,light green,,,0,FALSE,,
276,SardShG58.38:538,SardShW2,Lighting,fragmentary,Lamp,Y,handle & rim,1,4,,,,,14,,Glass,,light green,,,0,FALSE,Similar to [E1 fig173],
277,SardShG58.1.986,SardShW2,Other; Tool; Uncertain; Writing & communication,intact,Stamp,Y,man above (astride) 2 deer,1,,,,,1.7,,,Glass,,,250-300; before 250,,0,FALSE,,
278,SardShG58.95:1048,SardShW2,Container,fragmentary,Glass-VesselFrag,Y,,1,,,,,11.5,,,Glass,,light green,,,0,FALSE,,
279,SardShM58.59:861,SardShW2,Dress accessory,intact,Buckle,Y,stylized eagle heads at corners; overall pattern of deeply cut circles,1,,4.7,8.3,,,,,Cu alloy,,,,141,1,FALSE,,
280,SardShM58.60:877,SardShW2,Commerce; Industry; Uncertain,intact,Weight,Y,flat disc with raised edge,1,,,,,2.2,,,Cu alloy,,,,142,1,FALSE,,
281,SardShM58.71:581,SardShW2,Tool,broken,Knife-Gen,Y,tip & end of tang missing,1,,1.6,7.9,,,,,Iron,,,,143,1,FALSE,,
282,SardShM58.118:498,SardShW2,Food & drink; Tool; Uncertain,broken,Knife-Butcher,Y,,1,,4.2,16,,,,,Iron,,,,144,1,FALSE,,
283,SardShP58.291:543,SardShW2,Container,fragmentary,Amphora-Gen,N,neck & vertical band handle of wide-mouth amphora or jug,1,18,,,,16,,,Pottery/ceramic,,,,148,1,FALSE,,
284,SardShP58.468:760,SardShW2,Container,fragmentary,Amphora-Gen,Y,,1,12.6,,,,17,,,Pottery/ceramic,,,,149,1,FALSE,,
285,SardShP58.293:545,SardShW2,Container,fragmentary,Amphora-Gen,Y,,1,5,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
286,SardShUncat(W2a),SardShW2,Food & drink; Tool,intact,Spit,Y,,1,,,30,,,,,Iron,,,,,0,FALSE,,
287,SardShUncat(W2b),SardShW2,Industry; Tool,broken,Adze,N,,1,,,,,,,,Iron,,,,,0,FALSE,,
288,SardShUncat(W2c),SardShW2,Food & drink; Uncertain,broken,Bones-Gen,Y,"""a quantity of bones""",1,,,,,,,,Bone/ivory,,,,,0,FALSE,,
289,SardShP58.365:652,SardShW2,Container,fragmentary,Basin-Gen,Y,incised overlapping loops on ext,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
290,SardShP58.365:654,SardShW2,Container; Food & drink; Uncertain,fragmentary,Bowl-CarinatedGen,Y,,1,,,,,26,,,Pottery/ceramic,,,,,0,FALSE,,
291,SardShP58.265:461,SardShW2,Food & drink,fragmentary,CookWare-Sherd,Y,,1,6.2,,,,,12,,Pottery/ceramic,,,,150,1,FALSE,,
292,SardShP58.265:461,SardShW2,Container; Food & drink,intact,Cup-NoHandle,Y,ext ridged; int smooth,1,6.5,,,,10,,,Pottery/ceramic,,,,151,1,FALSE,,
293,SardShP58.311:508,SardShW2,Container; Food & drink,intact,Cup-NoHandle,Y,ext ridged; int smooth,1,6.5,,,,10,,,Pottery/ceramic,,,,151,1,FALSE,,
294,SardShP58.275:447,SardShW2,Container,fragmentary,Jar-Gen,Y,,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,"Crawford describes as ""large"" but no further info about dimensions",
295,SardShP58.292:544,SardShW2,Container; Other,broken,Lid-Gen,Y,,1,3.5,,,,,,,Pottery/ceramic,,,,,0,FALSE,As [E16 fig537],
296,SardShP58.272:444,SardShW2,Food & drink; Uncertain,fragmentary,Plate,Y,,1,,,,,16,,,Pottery/ceramic,,,,152,1,FALSE,,
297,SardShL58.25:534,SardShW2,Lighting,broken,Lamp,Y,relief dots on rim; heart-shaped nozzle,1,4,,8.5,,,,,Pottery/ceramic,,,,153,1,FALSE,,
298,SardShL58.26:549,SardShW2,Lighting,intact,Lamp,Y,relief rays on rim; round nozzle,1,3.3,,6.5,,,,,Pottery/ceramic,,,,,0,FALSE,As [E2 fig185],
299,SardShL58.36:798,SardShW2,Lighting,intact,Lamp,Y,as ID298; with leaf-shaped handle,1,3.5,3.4,,,,,,Pottery/ceramic,,,,,0,FALSE,,
300,SardShL58.44:982,SardShW2,Lighting,intact,Lamp,Y,as ID299; shell-shaped oil hole cover,1,4,3.2,,,,,,Pottery/ceramic,,,,,0,FALSE,,
301,SardShS58.8:605,SardShW2,Furniture,broken,FurnitureSupportSculpted,Y,male figure (Attis?),1,55,17,,19,,,,Marble,,white,,136,1,FALSE,height given by Crawford does not seem to match the illustration,
302,SardShS58.52:983,SardShW2,Commerce; Industry; Uncertain,intact,Weight,N,cone-shaped; flat ends; horiz hole drilled thru small end,1,2.2,,,,1.1,,,Stone other,,,,,0,FALSE,,
303,SardShP58.290:542,SardShW2,Other; Tool; Uncertain; Writing & communication,broken,Stamp,Y,round head on cylindrical shaft; 4-square grid w round hollow drilled in each corner,1,3.7,,,,6.5,,,Pottery/ceramic,,orange; red,,154,1,FALSE,,
304,SardShU58(W2a),SardShW2,Other,intact,Counter,N,handmade discs with pulled point,16,3,,,,4.7,,,Pottery/ceramic,,orange; red,,,0,FALSE,,
305,SardShG58.46:611,SardShW1,Container; Food & drink,broken,Goblet,Y,lower portion of bowl & concave stem,1,,,,,,,5,Glass,,light aquamarine,,,0,FALSE,,
306,SardShG58.47:612,SardShW1,Container,fragmentary,Bottle-Gen,N,neck & ribbed body frag,1,,,,,,,,Glass,,light aquamarine,,,0,FALSE,,
307,SardShG5817A-B:469,SardShW1,Other,fragmentary,Glass-FragsGroup,Y,fragments of window glass,1,,,32,,,,,Glass,,green; light aquamarine,,,0,FALSE,,
308,SardShM58.31:396,SardShW1,Jewellery,intact,FingerRing-Gen,Y,large; nearly round bezel; faintly incised illegible design,1,,1.5,,,2.35,,,Cu alloy,,,,145,1,FALSE,,
309,SardShM58.55:792,SardShW1,Jewellery,intact,FingerRing-Gen,Y,Maltese cross as bezel,1,,0.9,,,2.1,,,Cu alloy,,,,146,1,FALSE,,
310,SardShM58.83:692A,SardShW1,Tool,broken,Knife-Gen,Y,,1,,2.2,11,,,,,Iron,,,,147,1,FALSE,,
311,SardShP58.338:713,SardShW1,Container,fragmentary,Amphora-Gen,Y,neck w rounded grooved handle,1,,,,,,6,,Pottery/ceramic,,,,,0,FALSE,as [E5 fig146],
312,SardShP58.428:397,SardShW1,Container; Religious,intact,Ampulla,Y,,1,7.3,4,,,,,,Pottery/ceramic,,,,"155,156",1,FALSE,,
313,SardShP58.425:690A,SardShW1,Food & drink,fragmentary,CookWare-Sherd,Y,rim frag,1,,,,,,26,,Pottery/ceramic,,,,158,1,FALSE,,
314,SardShP58.339:714,SardShW1,Food & drink,broken,Cookware-PotDeep,Y,,1,,,,,22,,,Pottery/ceramic,,,,157,1,FALSE,,
315,SardShP58.449:718,SardShW1,Container,fragmentary,Jar-Storage,Y,rim; wavy line under ridge,1,,,,,,36,,Pottery/ceramic,,,,,0,FALSE,,
316,SardShP58.257:491,SardShW1,Container,fragmentary,Jar-Gen,N,jar or jug; thin-walled; fine micaceous slip on ext,1,8.9,,,,7,,,Pottery/ceramic,,,,159,1,FALSE,,
317,SardShS58.30:716,SardShW1,Industry,intact,Mortar-Deep,Y,4 plain round handles,1,29,,,,,,,Marble,,white,,,0,FALSE,,
318,SardShUncat(W1a),SardShW1,Commerce; Other; Uncertain,intact,Counter,N,counters or weights; handmade discs w pulled point,9,1.4,,,,2.8,,,Pottery/ceramic,,,,,0,FALSE,,
319,SardShU67(E1a),SardShE1,Container,fragmentary,Bottle-Gen,N,slightly curved body frag w applied thread,1,,,,,,,,Glass,,light aquamarine,,,0,TRUE,,
320,SardShU67(E1b),SardShE1,Container; Food & drink,fragmentary,Goblet,Y,stem w knob,1,,,,,,,,Glass,,green; light aquamarine,,,0,FALSE,,
321,SardShU67(E1c),SardShE1,Lighting,fragmentary,Lamp,Y,handle w attached portion of wall,1,5,,,,,,,Glass,,light aquamarine; light green,,172,1,FALSE,,
322,SardShG68.2:7686,SardShE1,Lighting,fragmentary,Lamp,Y,deep bowl; 2/3 P; flat bottom; flaring wall; 3 handles,1,3.5,,,,,,6,Glass,,light aquamarine,,,0,FALSE,,
323,SardShU67(E1d),SardShE1,Lighting,fragmentary,Lamp,Y,base w stem or thorn-like extension,1,5.5,,,,,,,Glass,,light aquamarine,,,0,FALSE,,
324,SardShU67(E1e),SardShE1,Lighting,fragmentary,Lamp,Y,lower portion of beaker-shaped lamp,1,4.5,,,,,,,Glass,,green,,,0,FALSE,,
325,SardShU67(E1f),SardShE1,Food & drink,fragmentary,Salver,Y,1/3 of rim,1,,,,,13,,,Glass,,light green,,,0,FALSE,,
326,SardShU67(E1g),SardShE1,Food & drink,fragmentary,Salver,Y,1/6 of rim,1,,,,,15,,,Glass,,light aquamarine,,,0,FALSE,,
327,SardShU67(E1h),SardShE1,Other,fragmentary,Glass-FragsGroup,Y,window glass,1,,,,,,,,Glass,,,,,0,FALSE,,
328,SardShUncat(E1a),SardShE1,Container,intact,Amphora-Gen,Y,coarse redware amphorae with knobbed feet,6,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
329,SardShUncat(E1b),SardShE1,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,coarse redware bowls w combed decoration,2,,,,,,,,Pottery/ceramic,,clay red; combed decoration,,,0,FALSE,,
330,SardShUncat(E1c),SardShE1,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,fine redware bowls,2,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
331,SardShUncat(E1d),SardShE1,Food & drink,intact,Cookware-Gen,Y,black cooking pots,2,,,,,,,,Pottery/ceramic,,clay black,,,0,FALSE,,
332,SardShU67(E1j),SardShE1,Container; Food & drink; Uncertain,fragmentary,Bowl-Deep,Y,rim frag; grooved & rouletted ledge rim turned out & down,1,,,,,,,,Pottery/ceramic,,clay orange,,,0,FALSE,similar to Hayes; 124; form 74; fig 21,
333,SardShU67(E1k),SardShE1,Container; Other; Uncertain,intact,SherdModified,Y,bottom of vessel chipped to even circle perhaps for use as lid or stopper,1,,,,,5,,,Pottery/ceramic,,,,,0,FALSE,,
334,SardShU67(E1l),SardShE1,Container; Other,intact,Lid-Flat,Y,formed on rough tournette; scars of strap handle on either side of centre,1,,,,,16.3,,,Pottery/ceramic,,,,,0,FALSE,,
335,SardShP67.2:7284,SardShE1,Food & drink; Uncertain,broken,Plate,Y,central Greek cross,1,3.5,,,,13,,,Pottery/ceramic,,clay light red; slip red,,"175,176,177,178",1,FALSE,,
336,SardShC68.15,SardShE1,Writing & communication,intact,Seal,Y,seal of Andrew; Stratelates,1,,,,,2.8,,,Lead/pewter,,other metal,550-600; 600-650,,0,FALSE,dated ca. 610-616,
337,SardShS62.3:4136,SardShE1,Industry,intact,Mould-Spoon,Y,half of 2-piece mould for cast spoon having deep bowl & handle ending in duck's head,1,,9,14.3,,,,,Stone other,,,,179,1,FALSE,,
338,SardShS67.2:7297,SardShE1,Industry,broken,Mortar-Gen,Y,w spout & 2 handles,1,18.5,,,,,49,,Marble,,,,180,1,FALSE,,
339,SardShP62.5:4135,SardShE1,Structural,fragmentary,DrainCover,Y,vertical rim profiled to fit tightly into a pipe; holes evenly spaced ƒ brick-like clay heavily encrusted w calcareous material,1,7.5,,,,,36,,Pottery/ceramic,,,,,0,FALSE,,
340,SardShUncat(E2a),SardShE2,Other,intact,Nail,Y,,32,,,,,,,,Iron,,,,,0,FALSE,,
341,SardShUncat(E2b),SardShE2,Jewellery; Tool,intact,SickleBladeRing,Y,no info in report about form,1,,,,,,,,Iron,,,,,0,FALSE,,
342,SardShUncat(E2c),SardShE2,Structural,intact,DoorSocket,Y,,1,,,,,,,,Iron,,,,,0,FALSE,,
343,SardShM68.3:7612,SardShE2,Other,intact,ChainWithHookEnd,Y,13 links,1,,,26,,,,,Cu alloy,,,,,0,FALSE,,
344,SardShM61.74:3782,SardShE2,Military; Tool; Uncertain,intact,DaggerSheath,Y,2 pieces; front piece tapers to rounded end; edges flanged to fit back,1,,,24.9,,,,,Cu alloy,,,,,0,FALSE,,
345,SardShU68(E2a),SardShE2,Security,intact,Hasp,Y,,1,,,18.8,,,,,Cu alloy,,,,,0,FALSE,,
346,SardShM61.26:3353,SardShE2,Security,intact,RingKey,Y,for box or casket,1,,,3,,2,,,Cu alloy,,,,181,1,FALSE,,
347,SardShM68.4:7624,SardShE2,Lighting,intact,LampStand,Y,tripod base w 3 lion-paw feet,1,3.6,,,,6.8,,,Cu alloy,,,,182,1,FALSE,,
348,SardShM68.2A-C:7611,SardShE2,Uncertain,fragmentary,MetalPiece,Y,3 frags - disc w 4 pierced tabs cut away & twisted at rt angles to it; disc w 3 incised circles around central dot; lion's paw; probably from lampstand,3,,,,,,,,Cu alloy,,,,,0,FALSE,,
349,SardShM68.7:7657,SardShE2,Industry; Tool,broken,Punch,Y,tapered rod w flat top & round section,1,,,9,,2,,,Iron,,,,,0,FALSE,,
350,SardShUncat(E2a),SardShE2,Container,intact,Amphora-Gen,Y,w knobbed foot,1,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
351,SardShUncat(E2b),SardShE2,Container,intact,Amphora-Gen,Y,w pointed feet,2,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
352,SardShUncat(E2c),SardShE2,Container,intact,Amphora-Gen,Y,,1,,,,,,,,Pottery/ceramic,,slip white,,,0,FALSE,,
353,SardShUncat(E2d),SardShE2,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,fine redware bowl,1,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
354,SardShUncat(E2e),SardShE2,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,coarse redware bowls,2,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
355,SardShUncat(E2f),SardShE2,Food & drink,intact,Cookware-Gen,Y,coarse black ware cooking pot,1,,,,,,,,Pottery/ceramic,,clay black,,,0,FALSE,,
356,SardShP68.12:7614,SardShE2,Container; Other,fragmentary,ClosedVessel,Y,body sherd,1,,,,,,,,Pottery/ceramic,,clay red; discolouration burning,,183,1,FALSE,,
357,SardShU68(E2b),SardShE2,Container,broken,Jug-Gen,Y,,1,26.4,,,,19.5,,,Pottery/ceramic,,,,184,1,FALSE,,
358,SardShL68.2:7603,SardShE2,Lighting,intact,Lamp,Y,Asia Minor type; foot print stamp on underside,1,4.3,,8.5,,,,,Pottery/ceramic,,,,185,1,FALSE,,
359,SardShU68(E2c),SardShE2,Container,intact,Basin-Gen,Y,steep sides; horiz rim; no handles; set in cement in NE corner of unit,1,,,,,34,,,Marble,,,,,0,FALSE,,
360,SardShU68(E2Aa),SardShE2A,Dress accessory,intact,Buckle,Y,shield-shaped plate w incised leaf & vine-like border,1,3.2,2.3,,,,,,Cu alloy,,,,192,1,FALSE,,
361,SardShU68(E2Ab),SardShE2A,Security,intact,RingKey,Y,for box or casket,1,,,8.5,,2.4,,,Cu alloy,,,,,0,FALSE,,
362,SardShU68(E2Ac),SardShE2A,Container; Other,intact,Lid-Flask,Y,cylindrical flask lid of hammered sheet metal - cotter pin on top w chain link attached to loop,1,,,,,,,,Cu alloy,,,,,0,FALSE,,
363,SardShU68(E2Ad),SardShE2A,Container,fragmentary,Amphora-Gen,Y,section of shoulder; neck & handle,1,,,,,,6,,Pottery/ceramic,,slip light buff,,193,1,FALSE,,
364,SardShP68.58:7677,SardShE2A,Food & drink; Uncertain,fragmentary,Plate,Y,,1,,,,,,28,10,Pottery/ceramic,,clay buff; clay pink; micaceous,,194,1,FALSE,,
365,SardShU68(E2Ae),SardShE2A,Food & drink; Uncertain,intact,Plate,Y,,1,4.5,,,,20.5,,,Pottery/ceramic,,,,,0,FALSE,,
366,SardShS68.1:607,SardShE2A,Other,broken,SculptureGroup,Y,laurel tree w heavily drilled & incised leaves;in front is base of lion-footed Delphic tripod; snake; & l foot of Apollo(?),1,44.5,,,9.2,,,,Marble,,aquamarine; blue; green; white,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250; uncertain,"191,197",2,FALSE,,
367,SardShS62.8:4159,SardShE2A,Industry,intact,Pestle-Gen,Y,elbow-shaped,1,12.5,,,,8,,,Stone other,,,,196,1,FALSE,,
368,SardShUncat(E3a),SardShE3,Other,intact,Nail,Y,,44,,,,,,,,Iron,,,,,0,FALSE,,
369,SardShUncat(E3b),SardShE3,Uncertain,intact,MetalPiece,Y,lumps of lead,2,,,,,,,,Lead/pewter,,,,,0,FALSE,,
370,SardShUncat(E3c),SardShE3,Other,intact,Rod,Y,,2,,,,,,,,Iron,,,,,0,FALSE,,
371,SardShUncat(E3d),SardShE3,Tool,broken,Knife-Gen,Y,,1,,,,,,,,Iron,,,,,0,FALSE,,
372,SardShUncat(E3e),SardShE3,Other,intact,ChainLink,Y,,3,,,,,,,,Cu alloy,,,,,0,FALSE,,
1779,SardShU73F202,SardShE3,Industry,broken,Cauldron,Y,,1,20,,,,,33.3,,Cu alloy,,other metal,,202,1,FALSE,,
1780,SardShUncat(E3f),SardShE3,Container,broken,Amphora-Gen,Y,,4,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
1781,SardShUncat(E3g),SardShE3,Container,broken,Amphora-Gen,Y,,2,,,,,,,,Pottery/ceramic,,slip white,,,0,FALSE,,
1782,SardShUncat(E3h),SardShE3,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,,1,,,,,,,,Pottery/ceramic,,combed decoration,,,0,FALSE,,
1783,SardShUncat(E3i),SardShE3,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,fine ware,1,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
1784,SardShUncat(E3j),SardShE3,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,coarse ware,3,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
1785,SardShUncat(E3k),SardShE3,Container,intact,Basin-Gen,Y,coarse ware,1,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
1786,SardShUncat(E3l),SardShE3,Food & drink,intact,Cookware-PotGen,Y,coarse ware,1,,,,,,,,Pottery/ceramic,,clay black,,,0,FALSE,,
1787,SardShUncat(E3m),SardShE3,Container,intact,Unguentarium,Y,coarse ware,1,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
1788,SardShU67F216,SardShE4,Container; Food & drink; Uncertain,fragmentary,Bowl-Gen,N,,1,,,,,5.2,,,Glass,,green,,,0,FALSE,,
1789,SardShU67(E4a),SardShE4,Industry,intact,Cullet,Y,,2,,,,,,,,Glass,,white,,,0,FALSE,,
1790,SardShU67(E4b),SardShE4,Container; Food & drink,fragmentary,Goblet,N,"knobbed stem; 1.5 knobs preserved - described as ""goblet or lamp""",1,,,,,1.8,,,Glass,,light aquamarine,,,0,FALSE,only stem preserved; so diam is that of stem,
1791,SardShU67(E4c),SardShE4,Lighting,fragmentary,Lamp,Y,"rim frags; ""pattern-molded with ribs turning to upper r""",1,,,,,13,,,Glass,,moulded decoration,,,0,FALSE,,
1792,SardShU67F217,SardShE4,Lighting,fragmentary,Lamp,Y,"""handle; unusually large""",1,8.3,,,,,,,Glass,,light aquamarine,,,0,FALSE,,
1793,SardShU67(E4d),SardShE4,Structural,fragmentary,WindowGlass,Y,multiple; but quantity not given,1,,,,,,,,Glass,,,,,0,FALSE,,
1794,SardShU67(E4e),SardShE4,Commerce,broken,BalanceScale,Y,horiz beam tapered at both ends w movable suspension device attached to center,1,,,15,,,,,Cu alloy,,other metal,,,0,FALSE,,
1795,SardShM67.14:7380,SardShE4,Container; Food & drink; Uncertain,broken,Bowl-Gen,Y,straight sides; flat base; lip formed by folding metal outward & pressing it toward side (to smooth edge after breaking?),1,,,,,16,,,Cu alloy,,other metal,,,0,FALSE,,
1796,SardShM67.15:7381,SardShE4,Container,broken,Jug-Trefoil,Y,,1,24,,,,,,16,Cu alloy,,other metal,,211; 213,1,FALSE,,
1798,SardShM67.29.7475,SardShE4,Container,broken,Jug-Gen,Y,with lid,1,21,,,,,4,11,Cu alloy,,other metal,,212; 214,1,FALSE,,
1799,SardShM67.5.7299,SardShE4,Container,broken,Jug-Gen,Y,v misshapen; orig cylindrical body & neck w straight rim; horiz shoulder w shallow incised lines & triangles,1,30,,,,,,34,Cu alloy,,incised decoration; other metal,,,0,FALSE,,
1800,SardShM67.7.7313,SardShE4,Container; Other,intact,Lid-Gen,Y,,1,6.2,,,,5.3,,,Cu alloy,,,,,0,FALSE,as lid on ID1798 - Crawford gives dimensions as H 0.62 [i.e. 62cm] dia. 0.53 [i.e. 53cm]; but this cannot be right (there are other inconsistencies in the system of dimensions in the volume too).,
1801,SardShUncat(E4a),SardShE4,Other,intact,Nail,Y,,30,,,,,,,,Iron,,,,,0,FALSE,,
1802,SardShUncat(E4b),SardShE4,Structural,intact,DoorPostRing,Y,,2,,,,,,,,Iron,,,,,0,FALSE,,
1803,SardShUncat(E4c),SardShE4,Uncertain,intact,MetalPiece,Y,iron lumps,4,,,,,,,,Iron,,,,,0,FALSE,,
3525,SardShBI68.2:7658,SardShE4,Tool; Uncertain,broken,Handle,N,irregular cross-section; fwo flat sides & one curved; incised X's & bars or numerals on flattest side. Catalogued as a flute but cf. Sarachane I no 388 handle,1,,,11.7,,,,,Bone/ivory,,incised decoration,,215,0,FALSE,,
3526,SardShU68F222a,SardShE4,Container,broken,Basin-ShelfRim,Y,flat-bottomed; flat everted rim; incised wavy lines,1,,,,,,,,Pottery/ceramic,,incised decoration,,222,0,FALSE,,
3527,SardShU67(E4f),SardShE4,Container; Food & drink; Uncertain,broken,Bowl-CarinatedGen,Y,w ring foot; carination at rim; upright rim set off w grooves & ridging,1,,,,,25,,,Pottery/ceramic,,clay buff; clay pink,,,0,FALSE,containing other items - jug ID3530 and funnel,
3528,SardShU67F218,SardShE4,Container; Food & drink,intact,Cup-NoHandle,Y,conical - small; flat string-cut bottom; wall curves inwards towards rim; ext ridged; int smooth,1,,,,,6,,,Pottery/ceramic,,clay buff; clay pink; micaceous,,218,0,FALSE,,
3529,SardShU67F219,SardShE4,Container; Food & drink,intact,Cup-NoHandle,Y,as ID3529 but ext not ridged; top of rim smoothed flat,2,,,,,,,,Pottery/ceramic,,clay buff; clay pink; discolouration burning; micaceous,,219,0,FALSE,"excavators note that ""foot [is] more definitely set off so could be grasped by pinchers; blackened by heating"" - suggesting use in industrial process",
3530,SardShU68F220,SardShE4,Container,intact,Jug-WideMouth,Y,round body smooth on int & ext; one pulled handle attached at lip & shoulder,1,18,,,,14.2,10.2,,Pottery/ceramic,,clay buff; clay pink; slip light beige,,220,0,FALSE,found in basin ID3526,
3531,SardShU68(E4a),SardShE4,Container,broken,Jug-Gen,Y,ovoid; ridged body; out-turned; flat rim; one handle p joins at rim & shoulder,1,12,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
3532,SardShU67(E4g),SardShE4,Container,fragmentary,Pithos,Y,frag of out-turned rim & shoulder,1,,,,,,,,Pottery/ceramic,,applied decoration; clay buff; clay pink; incised decoration; micaceous,,,0,FALSE,,
3533,SardShP68.46:7661,SardShE4,Container; Uncertain,fragmentary,Sherd-Coarseware,Y,"wall fragment (closed vessel) stamped before firing ""OHC""",1,,,,,,,,Pottery/ceramic,,clay red; micaceous,,,0,FALSE,,
3534,SardShU68F222b,SardShE4,Industry,intact,Mortar-Deep,Y,standing mortar w hollow grinding bowl in top,1,50.5,,,,,35.5,,Marble,,,,222,0,FALSE,,
3535,SardShUncat(E4d),SardShE4,Container,intact,Amphora-Gen,Y,,2,,,,,,,,Pottery/ceramic,,clay red,,,0,FALSE,,
3536,SardShUncat(E4e),SardShE4,Food & drink,intact,Cookware-PotGen,Y,,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
3537,SardShUncat(E4f),SardShE4,Container,intact,Pithos,Y,,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
3538,SardShU59(E5a),SardShE5,Container,fragmentary,Bottle-GlobularBody,Y,neck of bottle with globular body; relatively thick glass,1,4.5,,,,,,,Glass,,light aquamarine,,,0,FALSE,,
3539,SardShU67(E5a),SardShE5,Industry,intact,Cullet,Y,from crucible,1,,,,,,,,Glass,,dark green,,,0,FALSE,,
3540,SardShU67(E5b),SardShE5,Container; Food & drink; Uncertain,broken,Bowl-Gen,N,vessel; possibly bowl ƒ slightly flaring wall; folded rim,1,4.5,,,,,9,,Glass,,light aquamarine,,,0,FALSE,,
3541,SardShIN68.14,SardShE5,Other,intact,Inscription,Y,_____ _____C__ ___ - 2 lines on white polished marble plaque; crudely carved; with dots in spaces between letters; poss reused revetment slab,1,21,,18,1.5,,,,Marble,,white,,230,0,FALSE,,
3542,SardShM68.14:7757,SardShE5,Container; Food & drink; Uncertain,intact,Bowl-Deep,Y,flat base; slightly convex sides made of single sheet of metal joined with toothed seam; rime folded inward & flattened,1,11.5,,,,,14,13,Cu alloy,,other metal,,231,0,FALSE,,
3543,SardShU73(E5a),SardShE5,Dress accessory,intact,Buckle,Y,plain round plate attached by 2 flanges to round buckle,1,,,,,,,,Cu alloy,,other metal,,,0,FALSE,,
3544,SardShU73F225a,SardShE5,Industry,intact,Cauldron,Y,misshapen; originally similar to [ID1779]; apparently raised from a single sheet of metal,1,24,,,,,57,40,Cu alloy,,other metal,,225,0,FALSE,in situ on colonnade floor with cauldron ID3545 and jug ID 3547,
3545,SardShU73F225b,SardShE5,Industry,intact,Cauldron,Y,low disk base & rim from straight sided vessel; probably not from the same piece,1,,19.5,,,,,11.5,Cu alloy,,other metal,,225,0,FALSE,in situ on colonnade floor with cauldron ID3544 and jug ID 3547,
3546,SardShM68.25:7901,SardShE5,Container; Other; Security,intact,Clasp,Y,for small box or casket; in 4 hinged segments; upper surface incised w lines & crosses,1,,7,156,,,,,Cu alloy,,other metal,,234,0,FALSE,,
